,segment_idx,excluded,n_rpeaks_noisy,n_RRI_detected,n_RRI_suprathresh,suprathresh_RRI_values,notes
208,208,False,0.0,332.0,3.0,[925.  412.5 510. ],
209,209,False,0.0,335.0,0.0,[],
210,210,False,0.0,323.0,3.0,[1132.5  712.5 1127.5],
211,211,False,1.0,335.0,5.0,[ 940.  1890.   947.5  590.  1005. ],
212,212,False,0.0,325.0,0.0,[],
213,213,False,1.0,323.0,3.0,[ 947.5 1855.   917.5],
214,214,False,1.0,322.0,7.0,[ 975.   465.  1452.5  882.5  440.   470.   922.5],
215,215,False,8.0,349.0,18.0,"[ 830.  1640.   665.   900.   435.   450.   875.   870.  2600.   870.
  540.   290.   825.   795.   310.   475.  2277.5  745. ]",
216,216,False,1.0,373.0,15.0,"[ 810.   370.   447.5  527.5  995.   477.5  315.   797.5  330.  1435.
  310.   407.5  435.  1745.   732.5]",
217,217,False,1.0,368.0,0.0,[],
218,218,False,2.0,379.0,7.0,[ 712.5  337.5  367.5  702.5  705.  1387.5  690. ],
219,219,False,0.0,376.0,2.0,[ 547.5 1092.5],
220,220,False,1.0,369.0,7.0,[ 610.   990.   282.5  765.   747.5 1480.   755. ],
221,221,False,1.0,378.0,3.0,[ 762.5 1540.   770. ],
222,222,False,0.0,375.0,2.0,[ 507.5 1020. ],
223,223,False,1.0,380.0,3.0,[ 760. 1530.  765.],
224,224,False,1.0,377.0,0.0,[],
225,225,False,0.0,377.0,0.0,[],
226,226,False,2.0,371.0,3.0,[ 795.  1607.5  802.5],
227,227,False,1.0,375.0,3.0,[ 810.  1612.5  802.5],
228,228,False,2.0,398.0,9.0,[1657.5  815.   805.   810.   817.5  812.5  680.  2710.   670. ],
229,229,False,1.0,371.0,5.0,[ 800.  1602.5  800.   602.5 1032.5],
230,230,False,6.0,364.0,15.0,"[ 592.5 1050.   535.  1042.5  362.5  420.   785.   325.   747.5  747.5
 3585.   700.   697.5 1387.5  687.5]",
231,231,False,1.0,358.0,9.0,[500.  315.  807.5 492.5 332.5 822.5 505.  305.  815. ],
232,232,False,1.0,359.0,0.0,[],
233,233,False,8.0,360.0,17.0,"[ 822.5 1625.   800.   902.5  417.5 2422.5  727.5 1442.5  717.5  562.5
 1017.5  817.5 1605.   792.5  732.5 1475.   747.5]",
234,234,False,1.0,375.0,3.0,[1237.5  352.5  767.5],
235,235,False,0.0,360.0,0.0,[],
236,236,False,2.0,391.0,8.0,[ 445.   332.5  770.   557.5  925.   730.  1460.   722.5],
237,237,False,3.0,397.0,11.0,[520.  980.  725.  385.  337.5 722.5 720.  717.5 732.5 275.  452.5],
